Full Name;Phone;Email;Age;Experience;Yearly Income;Has children;License states;Expiration date;License number
Alex Cho;18900991919;cho.cho;12;45;1200.11;TRUE;Alabama;12.12.2030;1xr567
John Smith;18912123321;j.s@gmail.com;43;10;58200.00;TRUE;NY;13.10.2010;1lv399
Helen Jenkins;18331212332;cho.cho;28;2;120543.01;FALSE;Texas;22.06.2018;1lv400
Jose Barrea;18900991922;cho.cho;43;17;97267.20;TRUE;Massachusetts;15.12.2003;1lv401
Denis Johnson;18900991923;cho.cho;55;29;83382.22;TRUE;NY;16.12.2010;1lv402
Francis Cooper;17211002895;cho.cho;37;11;58200.04;TRUE;Texas;01.07.2009;1lv403
Amanda Goldman;16489898912;cho.cho;33;4;58200.05;FALSE;California;18.09.2016;1lv404
Dell Curry;18900991923;cho.cho;26;1;58200.06;FALSE;Massachusetts;03.11.2019;1lv405
Mary Duval;16039909097;cho.cho;31;3;58200.07;TRUE;California;20.12.2010;1lv406
Amber Crow;16034567845;cho.cho;29;4;58200.08;TRUE;Texas;21.12.2010;1lv407
Benjamin Luchinsky;18934879923;cho.cho;38;10;58200.09;TRUE;Massachusetts;22.12.2010;1lv408
Anthony Tommasi;18943345872;cho.cho;37;6;58200.10;TRUE;Massachusetts;23.12.2010;1lv409
James Hopkins;16034555845;cho.cho;45;15;58200.11;TRUE;California;24.12.2010;1lv410
Jason Andersen;17219098826;cho.cho;48;19;58200.12;TRUE;California;25.12.2010;1lv411
Thomas Bell;17213289244;cho.cho;32;5;58200.13;FALSE;California;26.12.2010;1lv412
Andrew Wiggins;16032198466;cho.cho;49;21;58200.14;TRUE;NY;27.12.2010;1lv413
Ronald Hodgson;18945673219;cho.cho;52;23;58200.15;TRUE;Texas;28.12.2010;1lv414
Elisabeth Clarence;16142189763;cho.cho;36;7;58200.16;TRUE;Maine;29.12.2010;1lv415
Isaiah Blumberg;16034567845;cho.cho;53;22;58200.17;TRUE;Texas;30.12.2010;1lv416
Sandra Prowley ;16034567845;cho.cho;44;14;58200.18;TRUE;NY;31.12.2010;1lv417
