Full Name,Phone,Email,Age,Experience,Yearly Income,Has children,License states,Expiration date,License number
Alex Cho,18900991919,cho.cho,12,45,1200.11,TRUE,Alabama,12.12.2030,1xr567
John Smith,18912123321,j.s@gmail.com,43,10,58200.00,TRUE,NY,13.10.2020,1lv399
Helen Jenkins,18331212332,helen@gmail.com,28,2,120543.01,FALSE,Texas,22.06.2018,1lv400
Jose Barrea,18900991922,hos.bar@gmail.com,43,17,97267.20,TRUE,Massachusetts,15.12.2003,1lv401
Denis Johnson,18900991923,den.johnson@gmail.com,55,29,83382.22,TRUE,NY,16.12.2020,1lv402
Francis Cooper,17211002895,den.johnson@gmail.com,37,11,58200.04,TRUE,Texas,01.07.2009,1lv403
Amanda Goldman,16489898912,j.s@gmail.com,33,4,123813.05,FALSE,California,18.09.2016,1lv404
Dell Curry,18900991923,curry@yahoo.com,26,1,95823.06,FALSE,Massachusetts,03.11.2019,1lv405
Mary Duval,16039909097,jm.duval@gmail.com,31,3,86324.07,TRUE,California,20.12.2020,1lv406
Amber Crow,16034567845,mail@crow.com,29,4,95399.08,TRUE,Texas,21.12.2020,1lv407
Benjamin Luchinsky,18934879923,ben.luchinsky@gmail.com,38,10,58200.00,TRUE,Massachusetts,22.12.2020,1lv408
Anthony Tommasi,18943345872,j.s@gmail.com,37,6,69937.10,TRUE,Massachusetts,23.12.2020,1lv409
James Hopkins,16034555845,hopkins@gmail.com,45,15,150230.95,TRUE,California,24.12.2020,1lv410
Jason Andersen,17219098826,andersen@gmail.com,48,19,105022.12,TRUE,California,25.12.2020,1lv411
Thomas Bell,17213289244,bell@gmail.com,32,5,55300.13,FALSE,California,26.12.2020,1lv412
Andrew Wiggins,16032198466,wiggins@gmail.com,49,21,210245.89,TRUE,NY,27.12.2020,1lv413
Ronald Hodgson,18945673219,hodgson@yahoo.com,52,23,192379.15,TRUE,Texs,28.12.2020,1lv414
Elisabeth Blumberg,16142189763,Blumberg@gmail.com,36,7,sdfg,TRUE,Maine,29.12.2020,1lv415
Isaiah Blumberg,16034567845,blumberg@gmail.com,53,22,1299000.90,TRUE,Texas,30.12.2020,1lv416
Sandra Prowley,16034567845,prowley@gmail.com,44,14,77200.34,TRUE,NY,31.12.2020,1lv417
